lon,lat,PINN_log_dep
-180,-90,10.166138
-179,-90,10.147589
-178,-90,10.129046
-177,-90,10.110492
-176,-90,10.0919485
-175,-90,10.073412
-174,-90,10.054881
-173,-90,10.036359
-172,-90,10.017842
-171,-90,9.999337
-170,-90,9.980842
-169,-90,9.962369
-168,-90,9.9439
-167,-90,9.925452
-166,-90,9.907015
-165,-90,9.888603
-164,-90,9.870199
-163,-90,9.851811
-162,-90,9.833453
-161,-90,9.815113
-160,-90,9.796802
-159,-90,9.778502
-158,-90,9.760234
-157,-90,9.741984
-156,-90,9.723762
-155,-90,9.705565
-154,-90,9.687394
-153,-90,9.6692505
-152,-90,9.651136
-151,-90,9.633042
-150,-90,9.614988
-149,-90,9.596956
-148,-90,9.578956
-147,-90,9.560991
-146,-90,9.543039
-145,-90,9.525133
-144,-90,9.507257
-143,-90,9.489412
-142,-90,9.4716015
-141,-90,9.453824
-140,-90,9.436083
-139,-90,9.418367
-138,-90,9.400696
-137,-90,9.383047
-136,-90,9.3654375
-135,-90,9.347864
-134,-90,9.330324
-133,-90,9.312816
-132,-90,9.295349
-131,-90,9.277917
-130,-90,9.260519
-129,-90,9.243155
-128,-90,9.225834
-127,-90,9.208541
-126,-90,9.191289
-125,-90,9.174069
-124,-90,9.156888
-123,-90,9.139748
-122,-90,9.122637
-121,-90,9.105569
-120,-90,9.088529
-119,-90,9.071524
-118,-90,9.0545635
-117,-90,9.037645
-116,-90,9.020759
-115,-90,9.003905
-114,-90,8.987085
-113,-90,8.970302
-112,-90,8.953563
-111,-90,8.936855
-110,-90,8.920185
-109,-90,8.903557
-108,-90,8.886963
-107,-90,8.870395
-106,-90,8.853868
-105,-90,8.837385
-104,-90,8.820933
-103,-90,8.804511
-102,-90,8.788123
-101,-90,8.771777
-100,-90,8.755462
-99,-90,8.73919
-98,-90,8.722949
-97,-90,8.706737
-96,-90,8.690564
-95,-90,8.674431
-94,-90,8.658327
-93,-90,8.642254
-92,-90,8.626223
-91,-90,8.610223
-90,-90,8.594251
-89,-90,8.578317
-88,-90,8.562415
-87,-90,8.546552
-86,-90,8.530712
-85,-90,8.514918
-84,-90,8.499143
-83,-90,8.483406
-82,-90,8.4677
-81,-90,8.452032
-80,-90,8.436388
-79,-90,8.420774
-78,-90,8.405196
-77,-90,8.389646
-76,-90,8.374133
-75,-90,8.358646
-74,-90,8.34319
-73,-90,8.327768
-72,-90,8.312369
-71,-90,8.297006
-70,-90,8.2816725
-69,-90,8.266361
-68,-90,8.2510805
-67,-90,8.235833
-66,-90,8.220617
